Word,Furigana,Definition,Japanese sentence,English translation
男,おとこ,"man, male",男の人が私たちに話しかけた。,This guy began talking to us.
違う,ちがう,"differ, be wrong",答えが違います。,That's the wrong answer.
もらう,もらう,receive,彼女からプレゼントをもらいました。,I got a present from her.
これまで,これまで,"until now, until here",これまでの私とは違うんです。,I am not the same as before.
又,また,"again, also, or",明日、また来ます。,I'll come again tomorrow.
今日,きょう,today,今日は仕事がありません。,I have no work today.
頭,あたま,head,今朝から頭が痛い。,I've had a headache since this morning.
口,くち,mouth,口を大きく開けてください。,"Open wide, please."
悪い,わるい,bad,たばこは体に悪い。,Cigarettes are bad for your health.
上,うえ,"up, above",上を向いて。,Look up.
知れる,しれる,"become known, be found out",他人に知れるとまずいことになるわね。,This would be terrible if others found out about it.
一人,ひとり,"one, one person",そこには私一人しかいなかった。,I was the only one there.
やはり,やはり,"as expected, also, still",彼はやはり遅刻しました。,"He was late, as expected."
何,なん,"what, which",質問は何ですか。,What's the question?
こちら,こちら,"here, this way",受付はこちらです。,The reception desk is this way.
直ぐ,すぐ,"at once, soon",直ぐ行きます。,I'll go right away.
力,ちから,"strength, power",お相撲さんは、みんな力持ちだ。,All sumo wrestlers are strong.
気持ち,きもち,"feeling, sensation",彼の気持ちが分からない。,I don't understand his feelings.
いけない,いけない,"wrong, must not",勉強を怠けてはいけないよ。,You shouldn't neglect your studies.
付く,つく,"attach itself to, be connected with, come in contact with",靴に泥が付いています。,I have mud on my shoes.
つく,つく,"be on, switched on",部屋の電気がついています。,The room light is on.
よく,よく,often,彼女はよく旅行に行きます。,She often goes on holiday.
よく,よく,well,よく答えが分かりましたね。,You did well in coming up with the answer.
強い,つよい,strong,今日は風が強い。,There's a strong wind today.
待つ,まつ,"wait, wait for",あなたが来るのを待っています。,I am waiting for you to come.
人間,にんげん,"human being, people",人間の心は複雑です。,Man's mind is complex.
一緒,いっしょ,together,一緒に食事しようか。,Do you want to eat together?
戻る,もどる,"return, turn back",今、会社に戻ります。,I'm going back to the office now.
同じ,おなじ,"same, identical",彼の日本語のレベルは私と同じ位だ。,His Japanese level is about the same as mine.
間,あいだ,interval,雲の間から月が出た。,The moon came out from between the clouds.
皆,みな,"all, everybody",私の昇進を皆が喜んでくれたの。,Everyone was pleased with my promotion.
凄い,すごい,"wonderful, great, incredible",凄い雨になった。,It began raining cats and dogs.
姿,すがた,"figure, appearance",遠くに彼女の姿が見えた。,I saw her figure from a long way away.
部屋,へや,room,私の部屋は2階にあります。,My room is on the second floor.
つける,つける,switch on,電気をつけてください。,Please turn on the light.
付ける,つける,"attach, set, apply",おまけを付けました。,I added a freebie.
相手,あいて,opponent,試合の相手は誰ですか。,Who are they playing against?
帰る,かえる,"return, go back",家に帰ろう。,Let's go home.
代える,かえる,"substitute, use in place of",社長に代えて部長を出席させます。,I'll have the department manager attend in place of the president.
換える,かえる,"exchange, convert",車のタイヤを換えた。,I changed the tires on the car.
返る,かえる,"be restored to, return to",もう一度原点に返って考えましょう。,Let's go back to the beginning and think again.
世界,せかい,world,私は世界旅行をしたい。,I want to travel around the world.
食べる,たべる,eat,昨日タイカレーを食べました。,I had Thai curry yesterday.
早い,はやい,early,まだ学校へ行くには早い時間です。,It's still too early to go to school.
速い,はやい,fast,彼は走るのが速い。,He runs fast.
問題,もんだい,"problem, question",問題が一つあります。,There's one problem.
必要,ひつよう,"need, necessity",私にはたくさんのお金が必要だ。,I need a lot of money.
代わる,かわる,"substitute, be substituted for",上司に代わって会議に出た。,I attended the conference in place of my boss.
変わる,かわる,change,信号が青に変わりました。,The traffic light turned green.
子,こ,"child, kid",その子は日本語が分からない。,That kid doesn't understand Japanese.
入れる,いれる,put in,彼はかばんに手帳を入れた。,He put the appointment book in his bag.
大きい,おおきい,big,あの大きい建物は何ですか。,What's that big building?
もし,もし,"if, in case of",もし雨が降ったら、行きません。,I won't go if it rains.
者,もの,"person, fellow",私は先ほど電話した者です。,I'm the person who called a while earlier.
場所,ばしょ,"place, space",会社の場所を教えてください。,Please tell me where the office is.
確か,たしか,"for sure, for certain",彼の昇進は確かだ。,He's sure to get a promotion.
意味,いみ,"meaning, significance",それはどういう意味ですか。,What does that mean?
出来るだけ,できるだけ,as much as possible,出来るだけ早く来てください。,Please come as soon as possible.
過ぎる,すぎる,"pass by, exceed",時が過ぎるのは速い。,Time passes quickly.
他,た,"others, other things",留学生はアジア人が多く、その他は3割です。,"The majority of foreign students are Asian, with 30 percent from other regions."
あれ,あれ,that over there,あれは何ですか。,What's that?
通り,とおり,"passage, street",この通りはにぎやかですね。,"This street is lively, isn't it?"
先,さき,"ahead, first",お先にどうぞ。,Please go ahead.
大丈夫,だいじょうぶ,"alright, OK",大丈夫ですか。,Are you OK?
駄目,だめ,no good,彼は駄目な男だ。,He's a loser.
呼ぶ,よぶ,"call, name",ウェイターを呼びましょう。,Let's call the waiter.
日,ひ,"sun, sunlight, day",夏は日が長い。,The days are long in summer.
見せる,みせる,show,その写真を見せてください。,Please show me those pictures.
持って行く,もっていく,take,水を持って行きましょう。,Let's take some water with us.
持って来る,もってくる,bring,そのいすを持って来てください。,Please bring that chair.
心,こころ,"heart, mind",彼は素直な心を持っている。,He has a good heart.
別,べつ,"another, different",別の本も見せてください。,Please show me another book.
下さる,くださる,"give, favor with",先生が手紙を下さいました。,The teacher gave me a letter.
全て,すべて,"all, entirely",彼に全てのことを伝えた。,I told him everything.
好き,すき,"favorite, liked",私はワインが好きです。,I like wine.
始める,はじめる,"begin, start",テストを始めてください。,Please start the test.
向かう,むかう,"face, confront, head toward",今、会社に向かっています。,I'm heading for the office right now.
よる,よる,be caused by,人は見かけによらないな。,You can't judge people by their appearance.
なぜ,なぜ,"why, for what reason",なぜ来なかったの。,Why didn't you come?
話す,はなす,"speak, tell",母と電話で話しました。,I spoke to my mother on the phone.
家,いえ,"house, home",ここが私の家です。,This is my house.
受ける,うける,"receive, accept",彼は就職試験を受けた。,He took an exam to apply for a job.
やって来る,やってくる,"come, turn up",フランスからサーカスがやって来ます。,A circus is coming from France.
次,つぎ,next,次はいつ会いましょうか。,When shall we meet again?
続ける,つづける,"continue, keep up",仕事を続けてください。,Please continue working.
因る,よる,"be caused by, be due to",彼の病気は過労に因るものです。,His sickness is caused by overwork.
笑う,わらう,"laugh, smile",赤ん坊が笑っています。,The baby is laughing.
子供,こども,"child, kid",電車で子供が騒いでいた。,Kids were making a racket in the train.
内,うち,inside,心の内をお話し下さい。,Please speak your mind.
欲しい,ほしい,"want, desire",僕は新しい靴が欲しいです。,I want new shoes.
多い,おおい,lots of,京都にはお寺が多い。,There are a lot of temples in Kyoto.
終わる,おわる,"finish, end",会議は4時に終わります。,The conference ends at four o'clock.
仕事,しごと,"work, job",3月は仕事が忙しい。,I have a lot of work in March.
以上,いじょう,"not less than, more than",飛行機が1時間以上遅れた。,The plane arrived over an hour late.
四,よん,four,ハワイは四回目です。,This is my fourth trip to Hawaii.
五,ご,five,五人で旅行に行きました。,Five of us went on a trip.
もっと,もっと,more,もっと近くに来てください。,Please come closer.
全く,まったく,"entirely, truly, indeed",私には全く分かりません。,I don't understand at all.
知らず知らず,しらずしらず,"unawares, without knowing it",知らず知らずのうちに疲れがたまっていたよ。,I got tired little by little without being aware of it.
立つ,たつ,"stand, rise",彼はステージに立った。,He stood on stage.
建つ,たつ,"be built, be erected",ここに来年、家が建ちます。,Our house will be built here next year.
気付く,きづく,"notice, become aware of",彼はやっと問題点に気付きました。,He finally noticed the problem.
音,おと,"sound, noise",雨の音が聞こえる。,I can hear the sound of rain.
感じ,かんじ,"feeling, impression",あの子は感じの良い子です。,That child is very likable.
得る,える,"obtain, gain",彼は大金を得ましたよ。,He obtained a lot of money.
動く,うごく,move,動かないで。,Freeze!
あまり,あまり,(not) much,このビールはあまり美味しくありません。,This beer isn't very good.
余り,あまり,"remainder, leftover",余りは次回使いましょう。,Let's use the left-over portion next time.
切る,きる,cut,この紙を半分に切ってください。,Please cut this paper in half.
嬉しい,うれしい,"happy, glad",彼に会えて嬉しかった。,I was glad to meet him.
零,れい,"zero, naught",今ちょうど零時です。,It's exactly midnight now.
今に,いまに,"before long, someday",あなたも今に分かるでしょう。,You will understand one day.
様子,ようす,"appearance, aspect",彼女の様子を見てきます。,I'm going to see how she's doing.
死ぬ,しぬ,die,犬が病気で死にました。,Our dog got sick and died.
向ける,むける,"turn toward, point at",彼は上司に怒りの目を向けたんだよ。,He looked angrily at his boss.
女,おんな,"woman, girl",店員は若い女の人でした。,The salesclerk was a young woman.
教える,おしえる,"teach, tell",彼は数学を教えています。,He teaches mathematics.
高い,たかい,"high, tall",これがこの町で一番高いビルです。,This is the tallest building in town.
気に入る,きにいる,"like, be pleased with",新しい靴がとても気に入りました。,I really like my new shoes.
表情,ひょうじょう,"expression, look",彼はとても表情が豊かですね。,He's very expressive.
一つ,ひとつ,one (thing),それを一つください。,Please give me one of those.
居る,おる,"be present, stay (humble)",母は今、うちに居りません。,My mother isn't at home now.
会う,あう,meet,また会いましょう。,Let's meet again.
遭う,あう,"meet with, encounter",彼は交通事故に遭った。,He had a traffic accident.
嫌,いや,"dislike, have a dislike for",私は待つのが嫌だ。,I hate waiting.
済む,すむ,"be settled, complete",父の手術が無事に済みました。,My father's operation came off without a hitch.
つもり,つもり,"intention, purpose",明日からタバコを止めるつもりです。,I'll stop smoking as of tomorrow.
歩く,あるく,"walk, go on foot",駅まで歩きましょう。,Let's walk to the station.
開く,ひらく,open,32ページを開いてください。,Please open to page 32.
もちろん,もちろん,"of course, no doubt",もちろん一緒に行きます。,Of course I'll go with you.
一番,いちばん,most,彼はクラスで一番背が高い。,He's the tallest in class.
身,み,"body, one's own person",旅行中は身の安全が第一です。,Personal safety is paramount while traveling.
前もって,まえもって,in advance,休む時は前もって連絡ください。,"If you're going to take time off, please give me advance notice."
答える,こたえる,"answer, reply",私の質問に答えてください。,Please answer my question.
せい,せい,"cause, fault",自分の失敗を他人のせいにするな。,Don't blame others for your failure.
関係,かんけい,"relation, relationship",彼はその事件に関係がない。,He has nothing to do with that incident.
最後,さいご,"last, final",今日が夏休み最後の日だ。,Today's the last day of summer vacation.
君,きみ,you,この本を君にあげます。,I'm going to give you this book.
理由,りゆう,"reason, cause",遅れた理由を教えてください。,Please tell me why you were late.
その内,そのうち,"before long, sooner or later",彼女もその内、親の気持ちが分かるだろう。,"Sooner or later, she'll come to understand her parents' feelings."
ずっと,ずっと,"all day, from start to finish",父は休みの日はずっとテレビを見ている。,My father spends his days off watching television all the time.
可能,かのう,"possible, potential",20キロのダイエットは可能だと思いますか。,Do you think it's possible to go on a twenty kilogram diet?
先ず,まず,first,帰ったら先ず手を洗いましょう。,"When you get home, wash your hands first."
存在,そんざい,"existence, being",宇宙人は存在すると思いますか。,Do you think that aliens exist?
胸,むね,chest,胸に少し痛みがあります。,I have a slight pain in my chest.
普通,ふつう,"normal, regular",彼女は普通の女の子だ。,She's just a normal girl.
場合,ばあい,"situation, case",分からない場合は私に聞いてください。,Please ask me if you don't understand.
止める,とめる,"stop, turn off",車を止めて。,Stop the car.
初めて,はじめて,for the first time,東京に来るのは初めてです。,It's the first time I've been to Tokyo.
方,かた,person　（polite form),次の方、どうぞ。,Next please.
そのまま,そのまま,"like that, unchanged",そのままお待ちください。,Please just wait a bit.
足,あし,"leg, foot",彼は足が長い。,He has long legs.
頃,ころ,time,子供の頃、よくその公園で遊んだ。,I often played in that park when I was a kid.
名前,なまえ,name,あなたの名前を教えてください。,Please tell me your name.
とても,とても,very,この本はとてもおもしろい。,This book is very interesting.
首,くび,neck,きりんの首は長い。,Giraffes' necks are long.
誰か,だれか,someone,誰かに聞いてみてください。,Please ask someone.
うまい,うまい,good at,彼は野球がうまい。,He's good at baseball.
うまい,うまい,"delicious, tasty",うまい寿司屋を見つけたよ。,I found a good sushi shop.
気を付ける,きをつける,"take care of, pay attention to",体に気を付けてください。,Please take care of yourself.
既に,すでに,"already, previously",そのことは既にみんな知っています。,Everyone already knows that.
状況,じょうきょう,"state of affairs, conditions",この状況では出発は難しいです。,It will be difficult to depart in these conditions.
最初,さいしょ,"first, outset",5ページの最初を見てください。,Please look at the beginning of page 5.
飲む,のむ,drink,友達とお酒を飲んでいます。,I'm drinking sake with a friend.
聞こえる,きこえる,"hear, be heard",隣の部屋からテレビの音が聞こえる。,I can hear the sound of the television from the next room.
頂く,いただく,"receive, eat",お客様にお菓子を頂いた。,A customer gave me some snacks.
離す,はなす,"separate, detach",子供の手を離さないでください。,Don't let go of your child's hand.
生きる,いきる,live (one's life),皆一生懸命生きている。,They're all living their lives the best way that they can.
長い,ながい,long,彼女の髪はとても長い。,Her hair is very long.
つまり,つまり,"in short, basically",つまり、あなたは何も知らないのですね。,"So, basically, you don't know anything."
母,はは,(speaker's)mother,昨日、母と話をしました。,I talked to my mother yesterday.
無理,むり,"unreasonable, impossible, forced",5時までに家に帰るのは無理です。,I can't possibly get home by five o'clock.
外,そと,"outside, open air",外は暑いよ。,It's hot outside.
うなずく,うなずく,nod,彼女はうなずいて同意を示したの。,She showed agreement with a nod.
頑張る,がんばる,"persist, be tenacious",明日の試験、頑張ってね。,Good luck on tomorrow's exam.
残る,のこる,"remain, be left over",料理がたくさん残りました。,A lot of food was left over.
書く,かく,write,彼に手紙を書きました。,I wrote him a letter.
兄,あに,older brother,兄は水泳が得意です。,My big brother is good at swimming.
驚く,おどろく,"be surprised, be startled",彼は血を見て驚いた。,He was surprised to see blood.
下,した,"under, below",財布は机の下にあった。,My purse was under the desk.
覚える,おぼえる,"memorize, learn",妹は平仮名を全部覚えました。,My little sister learned all the hiragana.
腕,うで,arm,彼の腕は太い。,He has big arms.
色々,いろいろ,in various ways,彼は色々なことを知っている。,He knows about a lot of things.
守る,まもる,"protect, observe",彼は約束を守る人です。,He's one to keep his promises.
ただ,ただ,free,この温泉はただです。,This hot spring is free.
ただ,ただ,"simply, merely",私はただ彼女と話したかっただけです。,I just wanted to speak with her.
まるで,まるで,"just like, completely",彼はまるで子供のようにはしゃいだよ。,He froliced just like a kid.
水,みず,water,水を一杯ください。,Please give me a glass of water.
きっと,きっと,"surely, certainly",明日はきっと雨が降ります。,I'm sure it'll rain tomorrow.
少ない,すくない,"few, little",今年は雨が少ないです。,There's not much rain this year.
行う,おこなう,"do, carry out",その会社は来月、キャンペーンを行う。,That company is going to run a campaign next month.
走る,はしる,run,彼は毎晩3キロ走っています。,Every night he runs three kilometers.
先生,せんせい,teacher,私は日本語の先生になりたいです。,I want to become a Japanese teacher.
振る,ふる,"wave, shake, brandish",犬がしっぽを振っている。,The dog is wagging its tail.
心配,しんぱい,"anxiety, worry, good offices",明日のプレゼンテーションが心配だ。,I'm worried about tomorrow's presentation.
忘れる,わすれる,"forget, leave behind",約束を忘れないでください。,Please don't forget your promise.
今度,こんど,"this time, next time",今度はどこに行きたいですか。,Where do you want to go this time?
小さい,ちいさい,small,小さい花が咲いています。,Small flowers are blooming.
状態,じょうたい,"state, appearance",ここは道の状態がとても悪いです。,The road is in a very bad state here.
情報,じょうほう,information,学生たちはインターネットでいろいろな情報を集めた。,The students gathered all kinds of information on the Internet.
可愛い,かわいい,"cute, charming, sweet",彼女の赤ちゃんは可愛いです。,Her baby is cute.
国,くに,country,私の国について少しお話しましょう。,Let me tell you a bit about my country.
願う,ねがう,"wish, ask a favor, apply for",彼が元気になるよう願っています。,We're praying that he gets well.
程度,ていど,"degree, extent",この程度の怪我なら大丈夫です。,"With an injury of this small extent, she's going to be fine."
ゆっくり,ゆっくり,slowly,もっとゆっくり話してください。,Please speak more slowly.
楽しい,たのしい,"fun, enjoyable",彼はとても楽しい人です。,He's very fun to be with.
ちゃんと,ちゃんと,"regularly, properly",朝食はちゃんと食べましたか。,Did you eat a good breakfast?
買う,かう,buy,郵便局で切手を買いました。,I bought a stamp at the post office.
殺す,ころす,"kill, smother",私は生き物を殺すのが嫌いだ。,I hate killing living things.
更に,さらに,"furthermore, still more",彼は更に質問を続けたの。,He kept raising more questions.
女性,じょせい,"woman, female",そのパーティーに女性は何人来ますか。,How many women are coming to that party?
絶対,ぜったい,absolutely,そんなことは絶対できないよ。,I can never ever do such a thing.
止める,やめる,"stop, give up, abolish",話すのを止めてください。,"Stop talking, please."
辞める,やめる,"resign, retire",彼は会社を辞めます。,He's leaving the company.
夜,よる,night (from sunset to sunrise),きのうの夜は家にいました。,I was at home last night.
場,ば,"opportunity, occasion",この場でお礼を言わせてください。,Please let me take this opportunity to offer my gratitude.
特に,とくに,"specially, particularly",特に質問はありません。,I don't particularly have any questions.
思い出す,おもいだす,"recollect, recall",大切な用事を思い出しました。,I just remembered something important I need to take care of.
困る,こまる,"be at a loss, in a jam, in trouble",ケータイをなくして困っています。,I'm in a jam because I lost my cell phone.
引く,ひく,"draw, pull",このドアは引いてください。,Please pull this door open.
なぜか,なぜか,for some reason,今日はなぜか体がだるい。,I feel heavy today for some reason.
馬鹿,ばか,"fool, nonsense",私は馬鹿だった。,I was foolish.
今回,こんかい,this time,まあ今回は許してあげよう。,"Well, I'll let you off this time."
乗る,のる,"ride, take",駅からはタクシーに乗ってください。,Please take a taxi from the station.
何て,なんて,"what, how",何てきれいな人なんだ。,What a beautiful person she is!
光,ひかり,"light, flash",一筋の光が窓から差し込んだの。,A beam of light shone through the window.
形,かたち,"shape, form",その椅子は変わった形をしている。,That chair has an unusual shape.
共に,ともに,"together, both",最後まで共にがんばりましょう。,Let's try our best right to the end.
離れる,はなれる,"separate, leave",実家を4年間離れていました。,I was away from my parents' house for 4 years.
奥,おく,"inner part, the back, inner chamber",はさみは机の奥にあった。,The scissors were at the back of the desk.
優しい,やさしい,"gentle, kind",彼はとても優しい人です。,He's a very kind person.
腰,こし,"hip, lower back",昨日から腰が痛い。,I've had a pain in my lower back since yesterday.
頼む,たのむ,"ask, request",私はハンバーガーを頼みました。,I ordered a hamburger.
同時,どうじ,simultaneous,二人の走者は同時にゴールしたよ。,The two runners reached the goal at the same time.
さっき,さっき,"some time ago, only a moment ago",さっきの話を続けましょう。,Let's continue the conversation we had earlier.
深い,ふかい,"deep, profound, intimate",あの池はとても深い。,That pond is very deep.
進む,すすむ,"advance, move forward",前に進んでください。,Please move forward.
神,かみ,"god, spirit",彼は神を信じている。,He believes in God.
説明,せつめい,"explanation, description",この単語の意味を説明してください。,Please tell me the meaning of this word.
見つめる,みつめる,stare,彼はその絵をずっと見つめていたの。,He was gazing at that painting for a long time.
結果,けっか,"result, outcome",試合の結果を早く知りたい。,I want to know soon the results of the game.
決める,きめる,"decide, agree upon",帰国することに決めました。,I've decided to go back to my country.
読む,よむ,read,彼女は雑誌を読んでいます。,She's reading the magazine.
逃げる,にげる,"escape, run away",鳥が窓から逃げたよ。,The bird flew out of the window.
続く,つづく,"continue, follow",工事は3月まで続きます。,Construction will continue until March.
怖い,こわい,"fearful, be afraid",私は犬が怖いです。,I'm scared of dogs.
元,もと,"origin, source",あの人は卓球の元選手です。,That's a former table tennis player.
おいしい,おいしい,tasty,このケーキはおいしいね。,This cake is yummy.
どちら,どちら,which,肉と魚とどちらが好きですか。,"Which do you prefer, meat or fish?"
もしかしたら,もしかしたら,"possibly, perhaps",もしかしたら来年転勤になるかも知れない。,It's possible that I might be transferred next year.
瞬間,しゅんかん,"instant, moment",その瞬間、猫が跳び出しました。,"At that instant, the cat ran out."
かなり,かなり,"fairly, rather",彼はかなり英語が上手です。,He's pretty good at English.
店,みせ,"shop, store",私はこの店によく来ます。,I come to this store quite often.
彼ら,かれら,they,彼らはバスケットの選手です。,They're basketball players.
少女,しょうじょ,girl,少女は母親の手を握った。,The girl clasped her mother's hand.
軽い,かるい,"light, light weight",この靴はとても軽い。,These shoes are very light.
我が国,わがくに,"our country, Japan",彼は我が国を代表する作家です。,He's a writer who's representative of our country.
六,ろく,six,彼には子供が六人います。,He has six children.
対する,たいする,"face, be in response to",その質問に対する答えが見つからなかった。,I couldn't find an answer to that question.
肩,かた,shoulder,肩が凝りました。,My shoulders are stiff.
理解,りかい,"understanding, comprehension",理解してくれてありがとう。,Thank you for understanding.
どれ,どれ,"what, which",この中でどれが好きですか。,Which of these do you like?
探す,さがす,"search for, look for",彼は郵便局を探していました。,He was looking for the post office.
起きる,おきる,"get up, get out of bed",私は毎朝6時に起きます。,I get up at six o'clock every morning.
起きる,おきる,occur,近所で盗難事件が起きました。,Some burglaries occurred in the neighborhood.
性,せい,"sex, nature",この会社では性による差別はありません。,There is no gender discrimination in this company.
御免,ごめん,sorry,遅れて御免。,I am sorry I'm late.
寝る,ねる,"sleep, go to sleep",もう寝よう。,Let's go to bed.
しばらく,しばらく,"awhile, long time, for the time being",そこでしばらく休んでいます。,He's resting over there for a while.
辺り,あたり,"vicinity, around",辺りを見回したの。,We looked around the area.
与える,あたえる,give,そのニュースは彼に大きなショックを与えた。,The news gave him a great shock.
まさか,まさか,never in a million years,まさか車が当たるとは思わなかった。,I never imagined I would win the car!
落ちる,おちる,"fall, sink",猿も木から落ちる。,Monkeys also fall from trees.
上がる,あがる,"go up, rise",私たちは２階に上がった。,We went up to the second floor.
意識,いしき,"consciousness, awareness",彼は意識を失いました。,He lost consciousness.
本,ほん,"book, volume",本を１冊買いました。,I bought one book.
空,そら,"sky, weather",空が真っ青です。,The sky is bright blue.
簡単,かんたん,"simple, easy",この料理はとても簡単です。,This dish is very easy to make.
建てる,たてる,"build, erect",私たちは来年、家を建てます。,We're building a house next year.
